	ImageNumber	ObjectNumber	Intensity_MeanIntensity_Ch01	Intensity_MeanIntensity_Ch02	FileName_DAPI	Sample_Name
70	1	70	0.176168933	0.148059788	Neg_1a	Neg
71	1	71	0.146282902	0.133574504	Neg_1a	Neg
72	1	72	0.142108876	0.157786009	Neg_1a	Neg
73	1	73	0.131628762	0.15437386	Neg_1a	Neg
74	1	74	0.15930603	0.161338675	Neg_1a	Neg
75	1	75	0.181893774	0.141648056	Neg_1a	Neg
76	1	76	0.173978871	0.141428801	Neg_1a	Neg
77	1	77	0.192106591	0.166230941	Neg_1a	Neg
78	1	78	0.179453786	0.165840339	Neg_1a	Neg
79	1	79	0.216127458	0.195669939	Neg_1a	Neg
80	1	80	0.171723431	0.161802549	Neg_1a	Neg
81	1	81	0.07997805	0.110562294	Neg_1a	Neg
82	1	82	0.108503206	0.188730347	Neg_1a	Neg
83	1	83	0.098190825	0.149656362	Neg_1a	Neg
84	1	84	0.189724358	0.211889748	Neg_1a	Neg
85	1	85	0.188610405	0.244489921	Neg_1a	Neg
86	1	86	0.138189976	0.170478511	Neg_1a	Neg
87	1	87	0.168174966	0.245801919	Neg_1a	Neg
88	1	88	0.174610127	0.262033752	Neg_1a	Neg
89	1	89	0.123480881	0.145127164	Neg_1a	Neg
90	1	90	0.184899039	0.221153065	Neg_1a	Neg
91	1	91	0.133355369	0.141639132	Neg_1a	Neg
92	1	92	0.138084957	0.12643883	Neg_1a	Neg
93	1	93	0.122079424	0.137106612	Neg_1a	Neg
94	1	94	0.086045667	0.094668957	Neg_1a	Neg
95	1	95	0.179445575	0.205687473	Neg_1a	Neg
96	1	96	0.095988725	0.108650521	Neg_1a	Neg
97	1	97	0.168320665	0.187701751	Neg_1a	Neg
98	1	98	0.138658925	0.138626649	Neg_1a	Neg
99	1	99	0.187860328	0.122974771	Neg_1a	Neg
100	1	100	0.148794751	0.148956651	Neg_1a	Neg
101	1	101	0.213168373	0.159438539	Neg_1a	Neg
102	1	102	0.139455667	0.165829679	Neg_1a	Neg
103	1	103	0.082486964	0.086810596	Neg_1a	Neg
104	1	104	0.089693928	0.082281208	Neg_1a	Neg
105	1	105	0.150478635	0.16828583	Neg_1a	Neg
106	1	106	0.135633378	0.159346793	Neg_1a	Neg
107	1	107	0.089378341	0.085773124	Neg_1a	Neg
108	1	108	0.093242718	0.080915556	Neg_1a	Neg
109	1	109	0.133362386	0.173120313	Neg_1a	Neg
110	1	110	0.045449976	0.07273337	Neg_1a	Neg
111	1	111	0.13311178	0.187249367	Neg_1a	Neg
112	1	112	0.123727379	0.153167425	Neg_1a	Neg
113	1	113	0.133978531	0.179232828	Neg_1a	Neg
114	1	114	0.105167312	0.114608126	Neg_1a	Neg
115	1	115	0.125172444	0.212454474	Neg_1a	Neg
116	1	116	0.126372125	0.139695184	Neg_1a	Neg
117	1	117	0.120208279	0.128192142	Neg_1a	Neg
118	1	118	0.116876754	0.093337337	Neg_1a	Neg
119	1	119	0.046799853	0.083351834	Neg_1a	Neg
120	1	120	0.124166671	0.160009808	Neg_1a	Neg
121	1	121	0.165388798	0.156335045	Neg_1a	Neg
122	1	122	0.197114707	0.097724273	Neg_1a	Neg
123	1	123	0.170686771	0.261020799	Neg_1a	Neg
124	1	124	0.171747445	0.225749175	Neg_1a	Neg
125	1	125	0.165542343	0.234859602	Neg_1a	Neg
126	1	126	0.148252348	0.142369996	Neg_1a	Neg
127	1	127	0.200860292	0.267325856	Neg_1a	Neg
128	1	128	0.17759246	0.103042941	Neg_1a	Neg
129	1	129	0.148099738	0.109600583	Neg_1a	Neg
130	1	130	0.17515141	0.123679323	Neg_1a	Neg
131	1	131	0.095159023	0.075110238	Neg_1a	Neg
132	2	1	0.13600307	0.084779973	Neg_2a	Neg
133	2	2	0.09949536	0.070796258	Neg_2a	Neg
134	2	3	0.158884807	0.132209972	Neg_2a	Neg
135	2	4	0.162889114	0.137764488	Neg_2a	Neg
136	2	5	0.155758749	0.143370927	Neg_2a	Neg
137	2	6	0.111869242	0.139408918	Neg_2a	Neg
138	2	7	0.122764934	0.123103993	Neg_2a	Neg
139	2	8	0.154165109	0.109204448	Neg_2a	Neg
140	2	9	0.162975782	0.141816089	Neg_2a	Neg
141	2	10	0.202318909	0.246995008	Neg_2a	Neg
142	2	11	0.169400721	0.194399342	Neg_2a	Neg
143	2	12	0.136703767	0.12695284	Neg_2a	Neg
144	2	13	0.158724349	0.109727629	Neg_2a	Neg
145	2	14	0.152890903	0.236084184	Neg_2a	Neg
146	2	15	0.202879908	0.202095594	Neg_2a	Neg
147	2	16	0.110592115	0.123170854	Neg_2a	Neg
148	2	17	0.149412605	0.125950086	Neg_2a	Neg
149	2	18	0.129426998	0.121545787	Neg_2a	Neg
150	2	19	0.206828683	0.181446998	Neg_2a	Neg
151	2	20	0.12231373	0.166176475	Neg_2a	Neg
152	2	21	0.127921035	0.18004298	Neg_2a	Neg
153	2	22	0.213385116	0.225015588	Neg_2a	Neg
154	2	23	0.163052513	0.248047532	Neg_2a	Neg
155	2	24	0.160918998	0.2763478	Neg_2a	Neg
156	2	25	0.133473037	0.092630846	Neg_2a	Neg
157	2	26	0.122870187	0.089410076	Neg_2a	Neg
158	2	27	0.134411021	0.17638827	Neg_2a	Neg
159	2	28	0.149010218	0.149808622	Neg_2a	Neg
160	2	29	0.188274672	0.21485157	Neg_2a	Neg
161	2	30	0.142817724	0.195511987	Neg_2a	Neg
162	2	31	0.194391553	0.160514764	Neg_2a	Neg
163	2	32	0.172470591	0.191192161	Neg_2a	Neg
164	2	33	0.08786308	0.102492524	Neg_2a	Neg
